Time	P1_pad	P3b_pad	P3a_pad	P1_cup	P2_cup	P3_cup	P1_green	P2_green	P3_green	P1_pink	P2_pink	P3_pink	P1_ripe	P2_ripe	P3_ripe	null1	null2	null3
K00630	17.13	16.77	75.06	17.73	15.53	15.75	18.43	14.8	14.5	7.48	7.8	7.27	6.2	7.75	7.84	0	0	0
K00640	44.06	41.95	41.24	15.69	39.47	38	41.03	37.65	36.92	31.71	35.88	33.21	7.49	32.87	36.11	0	0	0
K00645	121.93	28.24	30.15	36.37	50.41	36.46	44.01	52.46	37.68	33.34	68.64	28.41	0	24.76	27.19	0	0	0
K00648	24.62	31.34	22.23	77.23	26.18	27.74	32.9	21.63	27.81	20.56	20.63	21.61	28.57	0	0	0	0	0
K00652	3.7	0	4.91	3.02	4.79	4.78	4.11	2.49	3.13	2.76	2.03	2.01	0	3.46	2.61	0	0	0
K00654	34.01	29.21	71.4	85.73	40.93	55.85	34.35	61.53	48.27	172.75	48	48.51	63.33	44.32	52.02	0	0	0
K00655	14.08	38.95	0	0	12.02	18.6	11.71	6.37	16.6	8.53	8.55	13.21	0	9.26	18.15	0	0	0
K00658	52.33	0	99.8	55.1	0	56.18	0	0	0	162.99	0	153.36	118.13	149.1	139.21	0	0	0
K00660	749.85	651.03	454.68	1090.95	308.7	495.27	477.58	43.59	358.43	1276.35	975.33	982.71	402.97	1303.41	2085.55	0	0	0
K00666	0	0	55.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00670	46.64	146.19	48.53	33.13	35.17	105.37	183.16	41.54	37.9	36.98	42.04	35.98	22.73	148.67	37.36	0	0	0
K00671	0	44.77	0	61.49	38.31	0	0	37.99	52.98	171.58	86.34	0	0	73.76	0	0	0	0
K00677	8.34	8.6	9.72	8.74	11.49	7.66	8.62	6.69	8.21	5.72	5.09	4.34	7.61	6.61	0	0	0	0
K00679	68.3	46.02	46.98	55.92	55.33	60.22	10	10.36	39.97	8.76	18.87	15.28	12.43	8.2	8.5	0	0	0
K00685	25.71	29.5	22.77	13.51	15.51	14.53	16.53	13.73	21.6	20.04	22.61	19.63	0	17.74	21.05	0	0	0
K00688	36.12	88.31	0	30.31	92.63	93.46	37.17	24.89	94.8	77.14	12.55	12.63	70.17	77.1	90.78	0	0	0
K00695	465.73	5.1	144.04	186.67	142.11	7.49	7.65	165.07	171.04	4.82	4.11	239.04	109.5	74.99	4.33	0	0	0
K00696	7.67	6.38	37.56	7.07	7.5	8.32	22.77	9.19	51.56	6.41	9.59	6.74	17.6	16.45	11.65	0	0	0
K00699	22.8	0	9.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00700	42.42	33.24	38	42.65	43.58	51.72	80.5	44.59	68.23	16.53	4.45	4.17	4.14	4.5	3.81	0	0	0
K00703	30.75	31.32	30.08	22.12	20.88	22.02	19.52	20.47	19.38	6.14	21.38	5.58	24.84	21.22	21.3	0	0	0
K00705	0	33.93	22.55	45.05	44.72	42.47	39.83	24.3	15.23	17.29	17.07	19.25	5.17	17.6	19.43	0	0	0
K00721	30.57	54.95	0	0	27.45	161.56	53.46	66.68	24.17	23.76	35.19	35.13	16.09	21.42	24.84	0	0	0
K00726	19.57	18.02	18.93	19.47	0	28.45	0	0	0	18.03	0	0	0	0	17.4	0	0	0
K00729	0	18.72	18.26	0	17.55	36.96	15.75	14.95	11.29	17.57	19.22	47.97	0	18.7	0	0	0	0
K00734	0	4.73	68.51	6.47	0	0	0	0	0	0	0	0	115.85	13.68	0	0	0	0
K00736	14.94	14.87	16.12	16.07	14.39	14.31	14.3	18.51	9.77	0	19.36	20.7	12.41	25.82	18.9	0	0	0
K00737	30.31	27.49	26.29	16.68	18.05	5.61	14.31	10.97	8.28	20.21	9.25	20.49	15.34	21.77	15.36	0	0	0
K00748	0	26.52	0	0	7.88	9.52	8.27	0	8.45	4.25	4.08	4.16	0	3.75	4.42	0	0	0
K00753	21.23	22.21	22.58	20.3	23.91	23.57	23.34	17.81	16.91	29.29	26.82	27.32	35.07	29.77	28.48	0	0	0
K00759	99.5	18.39	99.18	102.59	18.46	118.05	8	68.57	72.97	7.74	69.47	6.38	0	8.47	6.5	0	0	0
K00760	39.11	37.17	29.03	37.43	38.95	38.59	46.02	26.24	34.07	26.36	26.29	22.26	25.05	22.79	25.64	0	0	0
K00761	17.06	19.24	0	14.64	15.12	14.05	10.72	12.09	11.7	13.54	11.51	10.93	6.55	10.57	12.25	0	0	0
K00763	20.07	23.32	20.25	50.75	19.15	55.64	16.34	14.98	18.01	19.83	19.29	20.4	12.41	18.26	20.24	0	0	0
